Time,In_column_Top
5530,302.1334
5531,302.1314
5532,302.1324
5533,302.1404
5534,302.1404
5535,302.1414
5536,302.1434
5537,302.1434
5538,302.1444
5539,302.1454
5540,302.1454
5541,302.1454
5542,302.1454
5543,302.1464
5544,302.1474
5545,302.1474
5546,302.1424
5547,302.1394
5548,302.1394
5549,302.1414
5550,302.1414
5551,302.1434
5552,302.1484
5553,302.1484
5554,302.1394
5555,302.1344
5556,302.1344
5557,302.1504
5558,302.1525
5559,302.1484
5560,302.1344
5561,302.1344
5562,302.1354
5563,302.1354
5564,302.1354
5565,302.1334
5566,302.1324
5567,302.1334
5568,302.1414
5569,302.1414
5570,302.1394
5571,302.1364
5572,302.1364
5573,302.1374
5574,302.1374
5575,302.1374
5576,302.1374
5577,302.1374
5578,302.1394
5579,302.1414
5580,302.1414
5581,302.1364
5582,302.1334
5583,302.1334
5584,302.1334
5585,302.1334
5586,302.1334
5587,302.1344
5588,302.1344
5589,302.1374
5590,302.1384
5591,302.1384
5592,302.1334
5593,302.1334
5594,302.1334
5595,302.1344
5596,302.1344
5597,302.1324
5598,302.1304
5599,302.1304
5600,302.1364
5601,302.1374
5602,302.1364
5603,302.1314
5604,302.1314
5605,302.1304
5606,302.1304
5607,302.1304
5608,302.1374
5609,302.1384
5610,302.1384
5611,302.1364
5612,302.1364
5613,302.1354
5614,302.1344
5615,302.1344
5616,302.1254
5617,302.1224
5618,302.1224
5619,302.1264
5620,302.1264
5621,302.1254
5622,302.1234
5623,302.1234
5624,302.1274
5625,302.1294
5626,302.1294
5627,302.1194
5628,302.1184
5629,302.1234
5630,302.1344
5631,302.1344
5632,302.1234
5633,302.1164
5634,302.1164
5635,302.1214
5636,302.1214
5637,302.1214
5638,302.1234
5639,302.1234
5640,302.1244
5641,302.1244
5642,302.1244
5643,302.1254
5644,302.1254
5645,302.1254
5646,302.1264
5647,302.1264
5648,302.1214
5649,302.1134
5650,302.1134
5651,302.1094
5652,302.1084
5653,302.1094
5654,302.1214
5655,302.1214
5656,302.1214
5657,302.1224
5658,302.1224
5659,302.1134
5660,302.1074
5661,302.1074
5662,302.1134
5663,302.1134
5664,302.1144
5665,302.1174
5666,302.1174
5667,302.1204
5668,302.1224
5669,302.1224
5670,302.1114
5671,302.1104
5672,302.1124
5673,302.1184
5674,302.1184
5675,302.1194
5676,302.1204
5677,302.1204
5678,302.1154
5679,302.1144
5680,302.1154
5681,302.1184
5682,302.1184
5683,302.1184
5684,302.1184
5685,302.1184
5686,302.1104
